kanji,on_readings,kun_readings,meanings,jlpt_level,on_count,kun_count,meaning_count
味,ミ,あじ あじ.わう,"flavor, taste",N4,1,2,2
写,シャ ジャ,うつ.す うつ.る うつ- うつ.し,"copy, be photographed, describe",N4,2,4,3
字,ジ,あざ あざな -な,"character, letter, word, section of village",N4,1,3,4
答,トウ コタ.,こた.える,"solution, answer",N4,2,1,2
夜,ヤ,よ よる,"night, evening",N4,1,2,2
音,オン イン -ノン,おと,"sound, noise",N4,3,1,2
注,チュウ,そそ.ぐ さ.す つ.ぐ,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate",N4,1,3,8
帰,キ,かえ.る かえ.す おく.る とつ.ぐ,"homecoming, arrive at, lead to, result in",N4,1,4,4
古,コ -フル.,ふる.い ふる-,old,N4,2,2,1
歌,カ,うた うた.う,"song, sing",N4,1,2,2
買,バイ,か.う,buy,N4,1,1,1
悪,アク オ,わる.い わる- あ.し にく.い -にく.い ああ いずくに いずくんぞ にく.む,"bad, vice, rascal, false, evil, wrong",N4,2,9,6
図,ズ ト ハカ.,え,"map, drawing, plan, unexpected, accidentally",N4,3,1,5
週,シュウ,,week,N4,1,0,1
室,シツ,むろ,"room, apartment, chamber, greenhouse, cellar",N4,1,1,5
歩,ホ ブ フ アユ.,ある.く,"walk, counter for steps",N4,4,1,2
風,フウ フ -カ,かぜ かざ-,"wind, air, style, manner",N4,3,2,4
紙,シ,かみ,paper,N4,1,1,1
黒,コク,くろ くろ.ずむ くろ.い,black,N4,1,3,1
花,カ ケ ハ,,flower,N4,3,0,1
春,シュン ハ,,"springtime, spring (season)",N4,2,0,2
赤,セキ シャク アカ.ラメ,あか あか- あか.い あか.らむ,red,N4,3,4,1
青,セイ ショウ アオ.,あお あお-,"blue, green",N4,3,2,2
館,カン タ,やかた,"building, mansion, large building, palace",N4,2,1,4
屋,オク,,"roof, house, shop, dealer, seller",N4,1,0,5
色,ショク シキ イ,,color,N4,3,0,1
走,ソウ ハシ.,,run,N4,2,0,1
秋,シュウ ト,あき,autumn,N4,2,1,1
夏,カ ガ ゲ,なつ,summer,N4,3,1,1
習,シュウ ジュ,なら.う なら.い,learn,N4,2,2,1
駅,エキ,,station,N4,1,0,1
洋,ヨ,,"ocean, western style",N4,1,0,2
旅,リョ,たび,"trip, travel",N4,1,1,2
服,フ,,"clothing, admit, obey, discharge",N4,1,0,4
夕,セキ ユ,,evening,N4,2,0,1
借,シャク,か.りる,"borrow, rent",N4,1,1,2
曜,ヨ,,weekday,N4,1,0,1
飲,イン オン,の.む -の.み,"drink, smoke, take",N4,2,2,3
肉,ニク,,meat,N4,1,0,1
貸,タイ,か.す か.し- かし-,lend,N4,1,3,1
堂,ドウ,,"public chamber, hall",N4,1,0,2
鳥,チョウ ト,,"bird, chicken",N4,2,0,2
飯,ハン メ,,"meal, boiled rice",N4,2,0,2
勉,ベン ツト.メ,,exertion,N4,2,0,1
冬,トウ,ふゆ,winter,N4,1,1,1
昼,チュウ,ひる,"daytime, noon",N4,1,1,2
茶,チャ,,tea,N4,1,0,1
弟,テイ ダイ デ オトウ,,"younger brother, faithful service to elders",N4,4,0,2
牛,ギュウ ウ,,cow,N4,2,0,1
魚,ギョ -ザカ,うお さかな,fish,N4,2,2,1
兄,ケイ キョウ ア,,"elder brother, big brother",N4,3,0,2
犬,ケン,いぬ いぬ-,dog,N4,1,2,1
妹,マイ イモウ,,younger sister,N4,2,0,1
姉,シ,あね はは,elder sister,N4,1,2,1
漢,カ,,"Sino-, China",N4,1,0,2
政,セイ ショウ マ,まつりごと,"politics, government",N3,3,1,2
議,,,"deliberation, consultation, debate, consideration",N3,0,0,4
民,ミン タ,,"people, nation, subjects",N3,2,0,3
連,レン -ヅ.,つら.なる つら.ねる つ.れる,"take along, lead, join, connect, party, gang, clique",N3,2,3,7
対,タイ ツイ ムカ.,あいて こた.える そろ.い つれあ.い なら.ぶ,"vis-a-vis, opposite, even, equal, versus, anti-, compare",N3,3,5,7
部,ブ,,"section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine",N3,1,0,8
合,ゴウ ガッ カッ -ア.ワセ,あ.う -あ.う あ.い あい- -あ.い -あい あ.わす あ.わせる,"fit, suit, join, 0.1",N3,4,8,4
市,シ イ,,"market, city, town",N3,2,0,3
内,ナイ ダイ ウ,,"inside, within, between, among, house, home",N3,3,0,6
相,ソウ ショウ,あい,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy",N3,2,1,9
定,テイ ジョウ サダ.,さだ.める さだ.まる,"determine, fix, establish, decide",N3,3,2,4
回,カイ エ,まわ.る -まわ.る -まわ.り まわ.す -まわ.す まわ.し- -まわ.し もとお.る か.える,"-times, round, game, revolve, counter for occurrences",N3,2,9,5
選,セン,えら.ぶ,"elect, select, choose, prefer",N3,1,1,4
米,ベイ マイ メエトル ヨ,こめ,"rice, USA, metre",N3,4,1,3
実,ジツ シツ ミチ.,み みの.る まこと まことに みの,"reality, truth",N3,3,5,2
関,カン,せき -ぜき かか.わる からくり かんぬき,"connection, barrier, gateway, involve, concerning",N3,1,5,5
決,ケツ,き.める -ぎ.め き.まる さ.く,"decide, fix, agree upon, appoint",N3,1,4,4
全,ゼン スベ.,まった.く,"whole, entire, all, complete, fulfill",N3,2,1,5
表,ヒョウ,おもて -おもて あらわ.す あらわ.れる あら.わす,"surface, table, chart, diagram",N3,1,5,4
戦,セン ワナナ.,いくさ たたか.う おのの.く そよぐ,"war, battle, match",N3,2,4,3
経,ケイ キョウ ノ,へ.る た.つ たていと はか.る,"sutra, longitude, pass thru, expire, warp",N3,3,4,5
最,サイ シュ ツ,もっと.も,"utmost, most, extreme",N3,3,1,3
現,ゲン アラワ.,あらわ.れる,"present, existing, actual",N3,2,1,3
調,チョウ トトノ.エ,しら.べる しら.べ ととの.う,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate",N3,2,3,8
化,カ ケ,ば.ける ば.かす ふ.ける け.する,"change, take the form of, influence, enchant, delude, -ization",N3,2,4,6
当,トウ マサ.ニベ,あ.たる あ.たり あ.てる あ.て まさ.に,"hit, right, appropriate, himself",N3,2,5,4
約,ヤク,,"promise, approximately, shrink",N3,1,0,3
首,シュ ク,,neck,N3,2,0,1
法,ホウ ハッ ホッ フラン ノ,,"method, law, rule, principle, model, system",N3,5,0,6
性,セイ ショウ,さが,"sex, gender, nature",N3,2,1,3
要,ヨウ イ.,,"need, main point, essence, pivot, key to",N3,2,0,5
制,セイ,,"system, law, rule",N3,1,0,3
治,ジ チ ナオ.,おさ.める おさ.まる なお.る,"reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve",N3,3,3,10
務,ム ツト.メ,,"task, duties",N3,2,0,2
成,セイ ジョウ -ナ.,な.る な.す,"turn into, become, get, grow, elapse, reach",N3,3,2,6
期,キ ゴ,,"period, time, date, term",N3,2,0,4
取,シュ -ド.,と.る と.り と.り- とり,"take, fetch, take up",N3,2,4,3
都,ト ツ ミヤ,,"metropolis, capital",N3,3,0,2
和,ワ オ カ ナゴ.ヤ,やわ.らぐ やわ.らげる なご.む,"harmony, Japanese style, peace, soften, Japan",N3,4,3,5
機,キ,はた,"mechanism, opportunity, occasion, machine, airplane",N3,1,1,5
平,ヘイ ビョウ ヒョウ,たい.ら -だいら ひら ひら,"even, flat, peace",N3,3,4,3
加,カ,くわ.える くわ.わる,"add, addition, increase, join, include, Canada",N3,1,2,6
受,ジュ ウ.カ,う.ける -う.け,"accept, undergo, answer (phone), take, get, catch, receive",N3,2,2,7
続,ゾク ショク コウ キョウ ツグ.ナ,つづ.く つづ.ける,"continue, series, sequel",N3,5,2,3
進,シン スス.メ,すす.む,"advance, proceed, progress, promote",N3,2,1,4
数,スウ ス サク ソク シュ ワズラワ.シ,かず かぞ.える しばしば せ.める,"number, strength, fate, law, figures",N3,6,4,5
記,キ シル.,,"scribe, account, narrative",N3,2,0,3
初,ショ -ゾ.,はじ.め はじ.めて はつ はつ- うい- -そ.める,"first time, beginning",N3,2,6,2
指,シ -サ.,ゆび さ.す,"finger, point to, indicate, put into, play (chess), measure (ruler)",N3,2,2,6
権,ケン ゴン,おもり かり はか.る,"authority, power, rights",N3,2,3,3
支,,しんよう じゅうまた,"branch, support, sustain",N3,0,2,3
産,サン ム.,う.む う.まれる うぶ-,"products, bear, give birth, yield, childbirth, native, property",N3,2,3,7
点,テン,つ.ける つ.く た.てる さ.す とぼ.す とも.す ぼち,"spot, point, mark, speck, decimal point",N3,1,7,5
報,ホウ,むく.いる,"report, news, reward, retribution",N3,1,1,4
済,サイ セイ ワタ.,す.む -ず.み -ずみ す.まない す.ます -す.ます すく.う な.す わたし,"finish, come to an end, excusable, need not",N3,3,9,4
活,カツ,い.きる い.かす い.ける,"lively, resuscitation, being helped, living",N3,1,3,4
原,ゲン ハ,,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",N3,2,0,8
共,キョウ,とも とも.に -ども,"together, both, neither, all, and, alike, with",N3,1,3,7
得,トク ウ.,え.る,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit",N3,2,1,11
解,カイ ゲ サト.,と.く と.かす と.ける ほど.く ほど.ける わか.る,"unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute",N3,3,6,13
交,コウ コモゴ,まじ.わる まじ.える ま.じる まじ.る ま.ざる ま.ぜる -か.う か.わす かわ.す,"mingle, mixing, association, coming & going",N3,2,9,4
資,,,"assets, resources, capital, funds, data, be conducive to, contribute to",N3,0,0,7
予,ヨ シャ,あらかじ.め,"beforehand, previous, myself, I",N3,2,1,4
向,コウ ムカ.,む.く む.い -む.き む.ける -む.け む.かう む.かい む.こう む.こう- むこ,"yonder, facing, beyond, confront, defy, tend toward, approach",N3,2,10,7
際,サイ -ギ,きわ,"occasion, side, edge, verge, dangerous, adventurous, indecent, time, when",N3,2,1,9
勝,ショウ カ,か.つ -が.ち まさ.る すぐ.れる,"victory, win, prevail, excel",N3,2,4,4
面,メン ベン ツ,おも おもて,"mask, face, features, surface",N3,3,2,4
告,コク ツ.ゲ,,"revelation, tell, inform, announce",N3,2,0,4
反,ハン ホン タン ホ -カエ.,そ.る そ.らす かえ.す かえ.る,anti-,N3,5,4,1
判,ハン バン,わか.る,"judgement, signature, stamp, seal",N3,2,1,4
認,ニン,みと.める したた.める,"acknowledge, witness, discern, recognize, appreciate, believe",N3,1,2,6
参,サン シン ミ,まい.る まい- まじわる,"nonplussed, three, going, coming, visiting, visit, be defeated, die, be madly in love",N3,3,3,9
利,リ キ.,,"profit, advantage, benefit",N3,2,0,3
組,ソ,く.む くみ -ぐみ,"association, braid, plait, construct, assemble, unite, cooperate, grapple",N3,1,3,8
信,シ,,"faith, truth, fidelity, trust",N3,1,0,4
